"filename", "language", "Visual Basic", "XML", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMainProperty.vb", "Visual Basic", 36, 0, 0, 0, 0, 0, 4, 40
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_AreaPeripheri.designer.vb", "Visual Basic", 98, 0, 0, 0, 0, 26, 5, 129
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_AreaPeripheri.vb", "Visual Basic", 79, 0, 0, 0, 0, 0, 9, 88
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_Buffer.designer.vb", "Visual Basic", 288, 0, 0, 0, 0, 80, 5, 373
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_Buffer.vb", "Visual Basic", 498, 0, 0, 0, 0, 32, 37, 567
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_ClassViewSettings.Designer.vb", "Visual Basic", 425, 0, 0, 0, 0, 125, 5, 555
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_ClassViewSettings.vb", "Visual Basic", 1050, 0, 0, 0, 0, 61, 70, 1181
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_ConditionSettingSub.Designer.vb", "Visual Basic", 383, 0, 0, 0, 0, 110, 5, 498
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_ConditionSettingSub.vb", "Visual Basic", 217, 0, 0, 0, 0, 0, 14, 231
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_ConditionSettings.Designer.vb", "Visual Basic", 123, 0, 0, 0, 0, 38, 5, 166
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain_ConditionSettings.vb", "Visual Basic", 103, 0, 0, 0, 0, 0, 14, 117
